"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG3","qDTY12.1","qSub1","Pita","qPi33","xa5"
"44","Mid-Early","DSRCP v1","IR18T1014",2022,"DS",45,80,106,7104,79,85,57.4,15.9,NA,-1,NA,NA,-1,1
"45","Mid-Early","DSRCP v1","IR16A1687",2022,"DS",45,78,108,6812,78,84,43.5,11.1,NA,-1,NA,NA,NA,-1
"46","Early","DSRCP v1","IR17L1060",2022,"DS",46,78,107,6696,74,82,55.7,10.6,0,-1,NA,NA,-1,0
"47","Early","DSRCP v2","IR 111947-B-B-30-1-1-2",2022,"DS",45,80,108,6850,83,88,43.1,15.8,-1,-1,NA,1,1,-1
"48","Mid-Early","DSRCP v1","IR16A1256",2022,"DS",45,77,107,6945,83,87,43.6,11.5,NA,-1,NA,NA,-1,-1
"49","Early","DSRCP v2","IR14D174",2022,"DS",44,78,104,6783,79,86,53.6,10.5,-1,-1,NA,1,-1,-1
"50","Mid-Early","DSRCP v1","IR16A1105",2022,"DS",45,78,105,6715,72,80,40.6,11.6,NA,-1,NA,NA,-1,1
"51","Mid-early","DSRCP v2","IR15F1887",2022,"DS",44,80,109,6738,86,89,59.9,22.6,-1,-1,NA,1,-1,-1
"52","Early","DSRCP v2","IR14D114",2022,"DS",43,79,103,6714,NA,NA,58.8,10.9,-1,1,NA,1,1,-1
"53","Mid-Early","DSRCP v1","IR16A2106",2022,"DS",47,76,105,6970,75,81,37.4,11.2,NA,-1,NA,NA,-1,-1
"54","Early","DSRCP v1","IR 118941-1:3-B2",2022,"DS",47,79,102,6971,83,83,49.9,15.4,NA,-1,NA,NA,-1,-1
"55","Early","DSRCP v2","IR 111940-B-B-14-1-1-2",2022,"DS",44,78,107,6857,79,83,49.4,20.9,-1,-1,NA,1,-1,-1
"56","Mid-early","DSRCP v2","IR 114196-5:3-B2-B",2022,"DS",44,80,104,6847,80,83,57.7,20.1,-1,-1,NA,1,-1,1
"57","Early","DSRCP v1","IR14L297",2022,"DS",45,77,108,6780,76,83,44.7,11.4,-1,-1,-1,NA,-1,-1
"58","Mid-Early","DSRCP v1","IR19L1004",2022,"DS",46,78,112,6862,80,85,56.2,13.3,NA,-1,NA,NA,NA,-1
"59","Early","DSRCP v1","IR17L1116",2022,"DS",47,80,107,7115,81,86,53.2,11.9,NA,-1,NA,NA,-1,-1
"60","Mid-early","DSRCP v2","IR 111940-B-B-14-1-3-1",2022,"DS",43,79,107,6915,83,85,42.7,16.7,-1,-1,NA,1,-1,-1
"61","Early","DSRCP v2","IR 111940-B-B-4-3-2-1",2022,"DS",44,79,108,6945,88,86,45.9,16.2,-1,-1,NA,1,-1,-1
"62","Mid-Early","DSRCP v1","IR15A2407",2022,"DS",48,77,106,7083,75,84,49.9,10.7,NA,-1,NA,NA,-1,1
"63","Early","DSRCP v2","IR 111940-B-B-13-2-3-3",2022,"DS",43,79,105,6879,74,81,48.6,19.3,-1,-1,NA,1,-1,-1
"64","Mid-Early","DSRCP v1","IR17L1191",2022,"DS",45,77,103,6603,79,85,58.3,12.5,NA,-1,NA,NA,-1,1
"65","Mid-early","DSRCP v2","IR 111940-B-B-16-1-1-1",2022,"DS",44,80,111,6957,85,88,47.1,15.2,-1,-1,NA,1,-1,-1
"66","Early","DSRCP v1","IR16T1110",2022,"DS",47,79,105,7005,85,89,46.9,10.4,NA,1,NA,NA,1,-1
"67","Early","DSRCP v1","IR 117841-4-1 RGA-1 RGA-1 RGA-2",2022,"DS",46,79,108,6913,78,83,46.1,9.3,1,-1,NA,NA,-1,1
"68","Early","DSRCP v4","IR 122420-B-B-1-3-3 RGA",2022,"DS",44,77,105,6630,NA,NA,56.76,NA,1,1,NA,-1,NA,-1
"69","Early","DSRCP v2","IR17F1118",2022,"DS",45,79,110,6783,84,89,48.1,13.6,NA,-1,NA,1,-1,-1
"70","Early","DSRCP v1","IR18T1020",2022,"DS",46,79,106,7072,75,79,56.6,13.7,NA,-1,NA,NA,-1,1
"71","Early","DSRCP v1","IR17D1087",2022,"DS",47,75,107,6982,80,84,45.2,11.1,NA,-1,-1,NA,-1,-1
"72","","DSRCP v6","IR 137188-23-2-B RGA-B RGA-2",2022,"DS",44,80,105,6845,NA,NA,51.32,NA,-1,-1,-1,1,-1,1
"73","","DSRCP v6","IR 137190-31-2-B RGA-B RGA-1",2022,"DS",44,80,106,6840,NA,NA,51.44,NA,-1,-1,-1,1,-1,1
"74","","DSRCP v6","IR 137190-24-1-B RGA-B RGA-1",2022,"DS",44,80,105,6852,NA,NA,51,NA,-1,-1,-1,1,-1,1
"75","","DSRCP v6","IR 137190-24-1-B RGA-B RGA-2",2022,"DS",44,80,105,6861,NA,NA,51.19,NA,-1,-1,-1,1,-1,1
"76","","DSRCP v6","IR 137190-24-1-B RGA-B RGA-3",2022,"DS",44,80,105,6858,NA,NA,50.95,NA,-1,-1,-1,1,-1,1
"77","","DSRCP v6","IR 139094-47-2-B RGA-B RGA-1",2022,"DS",44,80,105,6852,NA,NA,52.09,NA,1,-1,-1,1,-1,1
"78","","DSRCP v6","IR 139116-4-2-B RGA-B RGA-2",2022,"DS",44,80,105,6847,NA,NA,50.61,NA,-1,-1,-1,1,-1,1
"79","","DSRCP v6","IR 139094-47-2-B RGA-B RGA-3",2022,"DS",44,80,105,6844,NA,NA,50.81,NA,1,-1,-1,1,-1,1
"80","","DSRCP v6","IR 139094-47-2-B RGA-B RGA-5",2022,"DS",44,79,103,6851,NA,NA,51.77,NA,1,-1,-1,1,-1,1
"81","","DSRCP v6","IR 139116-4-2-B RGA-B RGA-1",2022,"DS",44,80,105,6850,NA,NA,51.34,NA,-1,-1,-1,1,-1,1
"82","","DSRCP v6","IR 139116-8-2-B RGA-B RGA-3",2022,"DS",44,80,105,6845,NA,NA,50.05,NA,1,-1,-1,1,-1,-1
"83","","DSRCP v6","IR 139116-4-2-B RGA-B RGA-4",2022,"DS",44,80,105,6850,NA,NA,51.34,NA,-1,-1,-1,1,-1,1
"84","","DSRCP v6","IR 125490-B-12-B RGA-B RGA-4",2022,"DS",44,81,108,6851,NA,NA,47.3,NA,1,-1,1,1,NA,-1
"85","Early","DSRCP v1","IR16L1499",2022,"WS",29,73,117,4302,83,87,54.7,10.5,NA,1,NA,NA,-1,-1
"86","Early","DSRCP v2","IR14D187",2022,"WS",26,74,112,3453,76,86,54.1,18.4,1,-1,NA,1,1,-1
