"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","BPH32","STV11"
"1","Mid-early","DSRCP v2","IR 111947-B-B-6-3-1-1",2022,"DS",42,80,108,6747,81,85,59.5,17.9,NA,-1,-1,NA,1,1,-1,1
"2","Mid-early","DSRCP v2","IR 111947-B-B-6-3-1-2",2022,"DS",42,80,107,6774,83,87,65,21.2,NA,-1,-1,NA,1,1,-1,1
"3","Early","DSRCP v1","IR19L1009",2022,"DS",44,78,110,6752,NA,NA,46.7,9.1,-1,1,-1,NA,NA,-1,1,1
"4","Mid-early","DSRCP v2","IR17D1090",2022,"DS",44,80,108,6904,NA,NA,58.9,16.4,NA,-1,1,NA,1,-1,1,1
"5","Mid-early","DSRCP v2","IR17D1001",2022,"DS",44,79,107,6821,NA,NA,61,22.9,NA,-1,-1,NA,1,-1,1,1
"6","Mid-early","DSRCP v2","IR14D137",2022,"DS",44,79,107,6739,83,86,63.4,18.7,NA,-1,-1,NA,1,-1,1,1
"7","Early","DSRCP v1","IR15D119",2022,"DS",46,78,101,6902,80,83,38.9,14.3,1,NA,-1,1,NA,-1,1,1
"8","Early","DSRCP v1","IR16L1411",2022,"DS",48,79,102,6677,84,89,52.6,11.4,1,1,1,NA,NA,-1,-1,1
"9","Early","DSRCP v1","IR15D1079",2022,"DS",43,80,104,6801,82,86,46,13.5,-1,NA,-1,NA,NA,1,1,1
"10","Early","DSRCP v1","IR16L1421",2022,"DS",48,77,105,6895,82,86,45.5,12.6,1,1,1,NA,NA,-1,1,-1
"11","Early","DSRCP v1","IR14F707",2022,"DS",46,79,106,6638,71,79,37,15.1,-1,NA,0,NA,NA,0,0,0
"12","Early","DSRCP v2","IR14D128",2022,"DS",44,79,105,6858,80,84,58.2,11.5,NA,-1,1,NA,1,-1,1,1
"13","Mid-early","DSRCP v2","IR 119924-3:3-B2-B",2022,"DS",44,79,106,6840,76,77,52.7,21.6,NA,-1,-1,NA,1,1,1,1
"14","Mid-early","DSRCP v2","IR 111921-B-B-46-2-2-1",2022,"DS",45,81,111,6928,82,87,67.2,16.8,NA,-1,-1,NA,1,1,1,1
"15","Early","DSRCP v1","IR19L1030",2022,"DS",45,78,105,6758,78,82,51,10.1,-1,NA,-1,NA,NA,-1,1,1
"16","Early","DSRCP v2","IR 111922-B-B-52-2-2-1",2022,"DS",44,79,107,6880,86,88,65.7,16.4,NA,-1,1,NA,1,-1,1,1
"17","Mid-early","DSRCP v2","IR 117647-B-B-45-1-B-B",2022,"DS",45,79,107,6778,NA,NA,56.8,23,NA,NA,1,NA,-1,-1,1,1
"18","Early","DSRCP v1","IR17D1067",2022,"DS",47,77,113,6886,86,90,59.7,11.4,-1,-1,-1,1,NA,-1,1,1
"19","Mid-early","DSRCP v2","IR17F1105",2022,"DS",45,79,109,6750,77,86,65.4,18.2,NA,NA,1,NA,-1,-1,1,1
"20","Early","DSRCP v2","IR17F1074",2022,"DS",44,78,108,6711,76,86,59,18,NA,-1,-1,NA,1,1,1,1
"21","Early","DSRCP v2","IR17D1006",2022,"DS",44,79,106,6674,85,89,53,15.6,NA,-1,1,NA,1,-1,1,1
"22","Mid-Early","DSRCP v1","IR14F713",2022,"DS",46,78,106,6955,72,82,58.9,9.4,-1,NA,-1,NA,NA,1,1,1
"23","Mid-early","DSRCP v2","IR14D198",2022,"DS",45,80,106,6825,81,85,62,22.3,NA,-1,-1,NA,1,-1,1,1
"24","Mid-early","DSRCP v2","IR 119465-2:3-B2-B",2022,"DS",44,80,104,6845,80,83,54.7,22,NA,1,-1,NA,1,1,1,1
"25","Early","DSRCP v1","IR 86417-26-1-1-1-1-1",2022,"DS",47,78,103,6885,80,85,39.3,17.7,-1,1,-1,NA,NA,-1,-1,1
"26","Mid-Early","DSRCP v1","IR19L1007",2022,"DS",48,78,107,6828,72,82,50.9,10.8,1,NA,1,NA,NA,-1,-1,1
"27","Mid-early","DSRCP v2","IR 111922-B-B-17-2-3-3",2022,"DS",44,80,108,6903,83,87,60.4,16.3,NA,-1,1,NA,1,-1,1,1
"28","Mid-Early","DSRCP v1","IR16T1009",2022,"DS",45,80,111,6730,70,76,55,11.2,-1,NA,1,NA,NA,1,-1,1
"29","Early","DSRCP v2","IR17F1083",2022,"DS",44,78,109,6792,83,87,37.6,11.7,NA,-1,-1,NA,1,-1,-1,1
"30","Early","DSRCP v2","IR 119493-1:3-B2-B",2022,"DS",44,80,105,6849,NA,NA,52.1,23.9,NA,-1,-1,NA,1,1,1,1
"31","Early","DSRCP v2","IR17D1012",2022,"DS",44,79,106,6685,81,87,61.4,18.6,NA,-1,1,NA,1,-1,1,1
"32","Early","DSRCP v1","IR17D1054",2022,"DS",45,80,110,6923,79,85,37.8,14.2,NA,-1,-1,NA,1,-1,1,1
"33","Mid-Early","DSRCP v1","IR18R1133",2022,"DS",48,81,109,6825,84,90,57.4,12.6,1,1,1,NA,NA,-1,1,1
"34","Mid-early","DSRCP v2","IR 111940-B-B-14-1-1-1",2022,"DS",44,79,108,6938,84,89,49.4,15.4,NA,-1,-1,NA,1,-1,1,1
"35","Early","DSRCP v2","IR14D149",2022,"DS",44,79,105,6859,80,84,55,13.3,NA,-1,1,NA,1,-1,1,1
"36","Early","DSRCP v2","IR14D201",2022,"DS",44,79,103,6718,80,86,49.6,16.9,NA,-1,1,NA,1,-1,1,1
"37","Mid-early","DSRCP v2","IR14D129",2022,"DS",44,80,108,6735,84,86,57.2,22.6,NA,0,-1,NA,1,-1,1,1
"38","Early","DSRCP v2","IR14D164",2022,"DS",44,79,109,6778,86,90,55.5,11.6,NA,-1,-1,NA,1,-1,1,1
"39","Early","DSRCP v2","IR 114469-1:3-B2-B",2022,"DS",44,80,105,6843,80,83,43.3,17,NA,-1,-1,NA,1,1,1,1
"40","Mid-early","DSRCP v2","IR 118507-1:3-B2-B",2022,"DS",44,80,105,6849,74,79,55.1,20,NA,-1,-1,NA,1,1,1,1
"41","Early","DSRCP v1","IR19L1050",2022,"DS",46,80,106,6850,82,86,55.8,9.5,-1,NA,-1,-1,NA,-1,1,1
"42","Early","DSRCP v2","IR14D165",2022,"DS",44,79,109,6778,77,86,51.4,14.2,NA,-1,-1,NA,1,-1,1,1
"43","Mid-early","DSRCP v2","IR 111922-B-B-17-2-2-3",2022,"DS",44,80,108,6908,79,82,52.8,14.4,NA,-1,1,NA,1,-1,1,1
"44","Mid-Early","DSRCP v1","IR18R1106",2022,"DS",44,82,105,6750,75,81,48.9,15,-1,NA,-1,NA,NA,1,1,1
"45","Early","DSRCP v1","IR19L1029",2022,"DS",50,77,104,7044,83,86,43.9,10.5,-1,NA,-1,NA,NA,-1,1,-1
"46","Early","DSRCP v1","IR19L1058",2022,"DS",46,77,108,6926,81,87,42.5,10.4,-1,NA,-1,NA,NA,-1,1,1
"47","Mid-Early","DSRCP v1","IR16A2634",2022,"DS",48,77,100,6677,78,84,57.9,11.8,-1,NA,-1,NA,NA,-1,1,1
"48","Early","DSRCP v2","IR14D173",2022,"DS",44,78,104,6728,NA,NA,51.8,13.9,NA,0,1,NA,0,-1,1,1
"49","Mid-Early","DSRCP v1","IR15A4029",2022,"DS",45,80,104,6843,79,85,56,10.1,-1,NA,-1,1,NA,1,1,1
"50","Mid-Early","DSRCP v1","IR18T1012",2022,"DS",46,76,109,6793,83,87,55.5,23.5,-1,NA,0,NA,NA,-1,1,1
"51","Early","DSRCP v2","IR17D1015",2022,"DS",44,79,106,6808,74,81,53.2,15.7,NA,NA,-1,NA,1,-1,1,1
"52","Mid-Early","DSRCP v1","IR16T1656",2022,"DS",44,79,113,6976,78,83,44.9,17.5,-1,NA,-1,NA,NA,1,-1,1
"53","Early","DSRCP v1","IR 117831-7-1 RGA-1 RGA-1 RGA-2",2022,"DS",46,79,110,6894,81,86,59.8,11.8,-1,1,-1,NA,NA,1,-1,1
"54","Early","DSRCP v1","IR14L362",2022,"DS",45,77,109,6747,72,84,42.8,10.8,-1,NA,1,-1,NA,-1,-1,1
"55","Mid-early","DSRCP v2","IR 120028-1:3-B2-B",2022,"DS",43,79,105,6876,83,85,60.3,17.9,NA,-1,-1,NA,1,1,1,1
"56","Mid-Early","DSRCP v1","IRRI 205",2022,"DS",46,78,111,6997,80,83,43.8,9.4,-1,NA,1,-1,NA,-1,1,1
"57","Mid-early","DSRCP v2","IR 116709-B-B-4-3-3",2022,"DS",44,79,107,6890,85,89,54.2,24.2,NA,-1,-1,NA,1,0,1,1
"58","Mid-early","DSRCP v2","IR17F1115",2022,"DS",44,80,110,6794,83,88,62.6,20.2,NA,-1,-1,NA,1,-1,1,1
"59","Mid-Early","DSRCP v1","IR16A2094",2022,"DS",46,78,108,7097,85,84,52.8,14,-1,NA,-1,NA,NA,1,1,-1
"60","Early","DSRCP v1","IR16L1419",2022,"DS",48,75,105,6979,72,82,51.4,10.8,1,NA,1,NA,NA,-1,1,-1
"61","Early","DSRCP v2","IR 118958-1:3-B2-B",2022,"DS",44,80,105,6843,79,82,51,16.5,NA,1,-1,NA,1,1,1,1
"62","Mid-Early","DSRCP v1","IR15A3852",2022,"DS",49,77,107,7080,77,82,55.3,8.1,-1,NA,-1,NA,NA,1,1,1
"63","Early","DSRCP v1","IR14L345",2022,"DS",49,76,108,6935,77,85,49.1,13.9,-1,NA,-1,NA,NA,-1,1,-1
"64","Early","DSRCP v1","IR 58443-6B-10-3",2022,"DS",44,79,110,7065,80,85,57.4,13.6,-1,1,-1,NA,NA,-1,1,1
"65","Mid-Early","DSRCP v1","IR19L1056",2022,"DS",46,79,105,6898,80,85,51.9,15.6,-1,NA,-1,-1,NA,-1,1,1
"66","Mid-Early","DSRCP v1","IR17L1446",2022,"DS",49,75,108,7005,85,88,50.6,12,1,NA,-1,NA,NA,1,1,-1
"67","Mid-Early","DSRCP v1","IR09L204",2022,"DS",48,79,104,6717,87,90,49.8,7.2,1,1,1,NA,NA,-1,-1,1
"68","Early","DSRCP v1","IR 117841-2-1 RGA-1 RGA-1 RGA-1",2022,"DS",46,79,112,6960,84,89,44.7,10.2,-1,NA,-1,NA,NA,1,1,1
"69","Early","DSRCP v3","IR18A1733",2022,"DS",44,78,102,6633,NA,93,65.6,12.4,-1,1,-1,-1,1,1,1,1
"70","mid-early","DSRCP v5","IR 97184-84-3-B RGA-1 RGA",2022,"DS",44,80,107,6692,NA,96,59.22,NA,-1,NA,-1,-1,1,1,1,1
"71","Mid-Early","DSRCP v1","IR19L1051",2022,"DS",45,79,106,6760,78,85,56.4,17.3,-1,NA,-1,NA,NA,-1,1,1
"72","Mid-Early","DSRCP v1","IR16A1591",2022,"DS",44,79,105,6830,82,84,55.6,11.2,-1,NA,-1,-1,NA,1,1,1
"73","Mid-Early","DSRCP v1","IR19L1054",2022,"DS",49,77,111,6979,79,82,54,15.2,-1,NA,-1,-1,NA,-1,1,1
"74","mid-early","DSRCP v5","IR 97181-35-1-B RGA-1 RGA",2022,"DS",45,79,110,6844,NA,97,53.71,NA,-1,-1,-1,-1,1,-1,-1,-1
"75","Early","DSRCP v3","IR18A1758",2022,"DS",44,78,102,6639,NA,96,64.5,9.3,-1,NA,-1,-1,1,1,1,1
"76","Early","DSRCP v3","IR17A3148",2022,"DS",44,79,105,6685,NA,88,64.2,10.5,-1,1,-1,-1,1,1,1,1
"77","Early","DSRCP v3","IR17A3152",2022,"DS",44,80,104,6861,NA,98,60.3,8.8,-1,-1,-1,-1,1,1,1,1
"78","Early","DSRCP v3","IR18A1808",2022,"DS",44,77,104,6634,NA,101,61.9,9.4,-1,1,-1,-1,1,1,1,1
"79","Mid-early","DSRCP v3","IR 97212-10-1-2-1",2022,"DS",45,79,109,6822,NA,92,67,18.6,-1,1,-1,-1,1,-1,-1,1
"80","Early","DSRCP v3","IR17A2955",2022,"DS",44,78,106,6738,NA,86,61.1,13.9,-1,1,-1,-1,1,-1,1,-1
"81","Early","DSRCP v3","IR18A1746",2022,"DS",43,78,103,6638,NA,98,61.2,12.6,-1,-1,-1,-1,1,1,1,1
"82","Mid-early","DSRCP v3","IR 127155-1-3-4-1-B-B",2022,"DS",44,80,108,6891,NA,95,56.7,10.2,-1,-1,1,1,1,-1,1,1
"83","Early","DSRCP v3","IR17A1608",2022,"DS",44,79,106,6684,NA,104,65.6,12,NA,NA,1,NA,1,1,1,1
"84","Mid-early","DSRCP v3","IR 127152-3-22-45-1-B-B",2022,"DS",43,79,105,6893,NA,96,57.9,8.7,NA,-1,-1,-1,1,-1,1,1
"85","early","DSRCP v5","IR 99243-49-2-B RGA-B RGA-1 RGA",2022,"DS",44,78,110,6842,NA,96,59.75,NA,-1,0,-1,-1,1,-1,1,1
"86","Early","DSRCP v3","IR18A1175",2022,"DS",42,79,106,6644,NA,97,59.2,12.2,-1,-1,-1,-1,1,1,1,1
"87","Mid-early","DSRCP v3","IR 127165-1-27-2-1-B-B",2022,"DS",43,78,107,6878,NA,96,65.7,7.7,NA,-1,-1,-1,1,-1,1,1
"88","Mid-early","DSRCP v3","IR 97184-92-3-3-3",2022,"DS",44,80,106,6787,NA,93,66.5,18.6,-1,-1,-1,-1,1,1,1,1
"89","Mid-Early","DSRCP v4","IR 116695-B-B-7-3-3 RGA",2022,"DS",43,80,108,6636,NA,NA,52.9,NA,NA,-1,1,NA,-1,-1,-1,1
"90","Early","DSRCP v4","IR 122407-B-B-14-1-1 RGA",2022,"DS",45,80,104,6716,NA,NA,57.48,NA,NA,-1,1,NA,-1,-1,1,1
"91","Mid-Early","DSRCP v4","IR 116692-B-B-4-1-1 RGA",2022,"DS",43,80,107,6664,NA,NA,52.89,NA,NA,-1,-1,NA,1,-1,NA,1
"92","Mid-Early","DSRCP v4","IR 116687-B-B-22-3-5 RGA",2022,"DS",44,78,104,6755,NA,NA,52.22,NA,NA,-1,-1,NA,1,-1,1,1
"93","Early","DSRCP v4","IR 131095-B-B-B-B-B-B-26 RGA",2022,"DS",44,79,105,6671,NA,NA,53.61,NA,NA,0,-1,NA,1,0,0,1
"94","Early","DSRCP v4","IR 116687-B-B-4-2-4 RGA",2022,"DS",44,78,105,6611,NA,NA,53.88,NA,NA,1,1,NA,-1,-1,1,1
"95","Mid-Early","DSRCP v4","IR 122420-B-B-1-1-1 RGA",2022,"DS",44,77,104,6632,NA,NA,57.12,NA,NA,1,1,NA,-1,-1,1,1
"96","Early","DSRCP v4","IR 116687-B-B-22-2-5 RGA",2022,"DS",44,78,104,6693,NA,NA,54.18,NA,NA,-1,-1,NA,1,-1,1,1
"97","Mid-Early","DSRCP v4","IR 116695-B-B-30-1-4 RGA",2022,"DS",43,78,107,6637,NA,NA,49.89,NA,NA,-1,-1,NA,1,-1,-1,1
"98","Mid-Early","DSRCP v4","IR 116687-B-B-4-2-2 RGA",2022,"DS",44,78,104,6611,NA,NA,54.95,NA,NA,1,1,NA,-1,-1,1,1
"99","","DSRCP v6","IR 137194-30-1-B RGA-B RGA-5",2022,"DS",45,80,108,6618,NA,NA,60.4,NA,NA,1,1,-1,-1,-1,1,1
"100","","DSRCP v6","IR 137194-30-1-B RGA-B RGA-1",2022,"DS",45,80,108,6618,NA,NA,58.81,NA,NA,1,1,-1,-1,-1,1,1
"101","","DSRCP v6","IR 137193-60-2-B RGA-B RGA-2",2022,"DS",45,80,108,6627,NA,NA,59.26,NA,NA,1,1,-1,-1,-1,1,1
