"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","BPH32","STV11"
"138","Mid-early","DSRCP v2","IR17D1090",2022,"WS",24,79,112,3817,NA,NA,58.9,16.4,NA,-1,1,NA,1,-1,1,1
"139","Mid-early","DSRCP v2","IR17D1001",2022,"WS",25,78,113,3993,NA,NA,61,22.9,NA,-1,-1,NA,1,-1,1,1
"140","Mid-early","DSRCP v2","IR14D137",2022,"WS",25,76,111,3854,83,86,63.4,18.7,NA,-1,-1,NA,1,-1,1,1
"141","Early","DSRCP v1","IR15D119",2022,"WS",26,76,106,4265,80,83,38.9,14.3,1,NA,-1,1,NA,-1,1,1
"142","Early","DSRCP v1","IR16L1411",2022,"WS",28,74,109,3858,84,89,52.6,11.4,1,1,1,NA,NA,-1,-1,1
"143","Early","DSRCP v1","IR15D1079",2022,"WS",27,78,107,4246,82,86,46,13.5,-1,NA,-1,NA,NA,1,1,1
"144","Early","DSRCP v1","IR16L1421",2022,"WS",29,72,112,3852,82,86,45.5,12.6,1,1,1,NA,NA,-1,1,-1
"145","Early","DSRCP v1","IR14F707",2022,"WS",25,78,115,4000,71,79,37,15.1,-1,NA,0,NA,NA,0,0,0
"146","Early","DSRCP v2","IR14D128",2022,"WS",24,74,109,3774,80,84,58.2,11.5,NA,-1,1,NA,1,-1,1,1
"147","Mid-early","DSRCP v2","IR 119924-3:3-B2-B",2022,"WS",23,78,108,3638,76,77,52.7,21.6,NA,-1,-1,NA,1,1,1,1
"148","Mid-early","DSRCP v2","IR 111921-B-B-46-2-2-1",2022,"WS",24,82,117,3774,82,87,67.2,16.8,NA,-1,-1,NA,1,1,1,1
"149","Early","DSRCP v1","IR19L1030",2022,"WS",26,78,118,4344,78,82,51,10.1,-1,NA,-1,NA,NA,-1,1,1
"150","Early","DSRCP v2","IR 111922-B-B-52-2-2-1",2022,"WS",24,76,109,3985,86,88,65.7,16.4,NA,-1,1,NA,1,-1,1,1
"151","Mid-early","DSRCP v2","IR 117647-B-B-45-1-B-B",2022,"WS",24,78,120,3943,NA,NA,56.8,23,NA,NA,1,NA,-1,-1,1,1
"152","Early","DSRCP v1","IR17D1067",2022,"WS",27,77,114,4202,86,90,59.7,11.4,-1,-1,-1,1,NA,-1,1,1
"153","Mid-early","DSRCP v2","IR17F1105",2022,"WS",24,77,121,3948,77,86,65.4,18.2,NA,NA,1,NA,-1,-1,1,1
"154","Early","DSRCP v2","IR17F1074",2022,"WS",24,77,118,3894,76,86,59,18,NA,-1,-1,NA,1,1,1,1
"155","Early","DSRCP v2","IR17D1006",2022,"WS",24,76,112,3956,85,89,53,15.6,NA,-1,1,NA,1,-1,1,1
"156","Mid-Early","DSRCP v1","IR14F713",2022,"WS",24,78,108,4023,72,82,58.9,9.4,-1,NA,-1,NA,NA,1,1,1
"157","Mid-early","DSRCP v2","IR14D198",2022,"WS",25,79,109,3956,81,85,62,22.3,NA,-1,-1,NA,1,-1,1,1
"158","Mid-early","DSRCP v2","IR 119465-2:3-B2-B",2022,"WS",24,79,106,3746,80,83,54.7,22,NA,1,-1,NA,1,1,1,1
"159","Early","DSRCP v1","IR 86417-26-1-1-1-1-1",2022,"WS",25,79,105,3832,80,85,39.3,17.7,-1,1,-1,NA,NA,-1,-1,1
"160","Mid-Early","DSRCP v1","IR19L1007",2022,"WS",25,79,112,4102,72,82,50.9,10.8,1,NA,1,NA,NA,-1,-1,1
"161","Mid-early","DSRCP v2","IR 111922-B-B-17-2-3-3",2022,"WS",25,79,112,3818,83,87,60.4,16.3,NA,-1,1,NA,1,-1,1,1
"162","Mid-Early","DSRCP v1","IR16T1009",2022,"WS",26,77,118,3998,70,76,55,11.2,-1,NA,1,NA,NA,1,-1,1
"163","Early","DSRCP v2","IR17F1083",2022,"WS",25,78,117,3872,83,87,37.6,11.7,NA,-1,-1,NA,1,-1,-1,1
"164","Early","DSRCP v2","IR 119493-1:3-B2-B",2022,"WS",23,79,109,3681,NA,NA,52.1,23.9,NA,-1,-1,NA,1,1,1,1
"165","Early","DSRCP v2","IR17D1012",2022,"WS",24,77,111,3954,81,87,61.4,18.6,NA,-1,1,NA,1,-1,1,1
"166","Early","DSRCP v1","IR17D1054",2022,"WS",27,71,125,4297,79,85,37.8,14.2,NA,-1,-1,NA,1,-1,1,1
"167","Mid-Early","DSRCP v1","IR18R1133",2022,"WS",28,81,109,4000,84,90,57.4,12.6,1,1,1,NA,NA,-1,1,1
"168","Mid-early","DSRCP v2","IR 111940-B-B-14-1-1-1",2022,"WS",24,77,115,3740,84,89,49.4,15.4,NA,-1,-1,NA,1,-1,1,1
"169","Early","DSRCP v2","IR14D149",2022,"WS",24,74,109,3794,80,84,55,13.3,NA,-1,1,NA,1,-1,1,1
"170","Early","DSRCP v2","IR14D201",2022,"WS",24,79,111,4056,80,86,49.6,16.9,NA,-1,1,NA,1,-1,1,1
"171","Mid-early","DSRCP v2","IR14D129",2022,"WS",25,76,107,3855,84,86,57.2,22.6,NA,0,-1,NA,1,-1,1,1
"172","Early","DSRCP v2","IR14D164",2022,"WS",25,76,113,4040,86,90,55.5,11.6,NA,-1,-1,NA,1,-1,1,1
"173","Early","DSRCP v2","IR 114469-1:3-B2-B",2022,"WS",23,77,108,3690,80,83,43.3,17,NA,-1,-1,NA,1,1,1,1
"174","Mid-early","DSRCP v2","IR 118507-1:3-B2-B",2022,"WS",23,78,108,3636,74,79,55.1,20,NA,-1,-1,NA,1,1,1,1
"175","Early","DSRCP v1","IR19L1050",2022,"WS",24,77,107,4374,82,86,55.8,9.5,-1,NA,-1,-1,NA,-1,1,1
"176","Early","DSRCP v2","IR14D165",2022,"WS",25,76,113,4025,77,86,51.4,14.2,NA,-1,-1,NA,1,-1,1,1
"177","Mid-early","DSRCP v2","IR 111922-B-B-17-2-2-3",2022,"WS",25,79,112,3774,79,82,52.8,14.4,NA,-1,1,NA,1,-1,1,1
"178","Mid-Early","DSRCP v1","IR18R1106",2022,"WS",23,82,110,3853,75,81,48.9,15,-1,NA,-1,NA,NA,1,1,1
"179","Early","DSRCP v1","IR19L1029",2022,"WS",30,77,116,4358,83,86,43.9,10.5,-1,NA,-1,NA,NA,-1,1,-1
"180","Early","DSRCP v1","IR19L1058",2022,"WS",26,74,122,4412,81,87,42.5,10.4,-1,NA,-1,NA,NA,-1,1,1
"181","Mid-Early","DSRCP v1","IR16A2634",2022,"WS",25,78,106,3966,78,84,57.9,11.8,-1,NA,-1,NA,NA,-1,1,1
"182","Early","DSRCP v2","IR14D173",2022,"WS",24,76,111,4030,NA,NA,51.8,13.9,NA,0,1,NA,0,-1,1,1
"183","Mid-Early","DSRCP v1","IR15A4029",2022,"WS",24,79,110,4105,79,85,56,10.1,-1,NA,-1,1,NA,1,1,1
"184","Mid-Early","DSRCP v1","IR18T1012",2022,"WS",26,73,118,4259,83,87,55.5,23.5,-1,NA,0,NA,NA,-1,1,1
"185","Early","DSRCP v2","IR17D1015",2022,"WS",25,78,113,3942,74,81,53.2,15.7,NA,NA,-1,NA,1,-1,1,1
"186","Mid-Early","DSRCP v1","IR16T1656",2022,"WS",26,77,121,3926,78,83,44.9,17.5,-1,NA,-1,NA,NA,1,-1,1
"187","Early","DSRCP v1","IR 117831-7-1 RGA-1 RGA-1 RGA-2",2022,"WS",25,78,113,3983,81,86,59.8,11.8,-1,1,-1,NA,NA,1,-1,1
"188","Early","DSRCP v1","IR14L362",2022,"WS",25,75,113,3908,72,84,42.8,10.8,-1,NA,1,-1,NA,-1,-1,1
"189","Mid-early","DSRCP v2","IR 120028-1:3-B2-B",2022,"WS",23,79,113,3970,83,85,60.3,17.9,NA,-1,-1,NA,1,1,1,1
"190","Mid-Early","DSRCP v1","IRRI 205",2022,"WS",27,74,116,4131,80,83,43.8,9.4,-1,NA,1,-1,NA,-1,1,1
"191","Mid-early","DSRCP v2","IR 116709-B-B-4-3-3",2022,"WS",24,76,115,3826,85,89,54.2,24.2,NA,-1,-1,NA,1,0,1,1
"192","Mid-early","DSRCP v2","IR17F1115",2022,"WS",25,78,118,3846,83,88,62.6,20.2,NA,-1,-1,NA,1,-1,1,1
"193","Mid-Early","DSRCP v1","IR16A2094",2022,"WS",25,75,114,4176,85,84,52.8,14,-1,NA,-1,NA,NA,1,1,-1
"194","Early","DSRCP v1","IR16L1419",2022,"WS",28,74,119,3921,72,82,51.4,10.8,1,NA,1,NA,NA,-1,1,-1
"195","Early","DSRCP v2","IR 118958-1:3-B2-B",2022,"WS",24,78,110,3763,79,82,51,16.5,NA,1,-1,NA,1,1,1,1
"196","Mid-Early","DSRCP v1","IR15A3852",2022,"WS",24,77,111,4344,77,82,55.3,8.1,-1,NA,-1,NA,NA,1,1,1
"197","Early","DSRCP v1","IR14L345",2022,"WS",30,72,119,4121,77,85,49.1,13.9,-1,NA,-1,NA,NA,-1,1,-1
"198","Early","DSRCP v1","IR 58443-6B-10-3",2022,"WS",27,78,114,3905,80,85,57.4,13.6,-1,1,-1,NA,NA,-1,1,1
"199","Mid-Early","DSRCP v1","IR19L1056",2022,"WS",23,76,109,4351,80,85,51.9,15.6,-1,NA,-1,-1,NA,-1,1,1
"200","Mid-Early","DSRCP v1","IR17L1446",2022,"WS",29,74,115,4119,85,88,50.6,12,1,NA,-1,NA,NA,1,1,-1
"201","Mid-Early","DSRCP v1","IR09L204",2022,"WS",29,78,110,4053,87,90,49.8,7.2,1,1,1,NA,NA,-1,-1,1
"202","Early","DSRCP v1","IR 117841-2-1 RGA-1 RGA-1 RGA-1",2022,"WS",24,78,118,3880,84,89,44.7,10.2,-1,NA,-1,NA,NA,1,1,1
"203","Early","DSRCP v3","IR18A1733",2022,"WS",26,70,115,3869,NA,93,65.6,12.4,-1,1,-1,-1,1,1,1,1
"204","mid-early","DSRCP v5","IR 97184-84-3-B RGA-1 RGA",2022,"WS",23,81,112,3911,NA,96,59.22,NA,-1,NA,-1,-1,1,1,1,1
"205","Mid-Early","DSRCP v1","IR19L1051",2022,"WS",27,77,114,3945,78,85,56.4,17.3,-1,NA,-1,NA,NA,-1,1,1
"206","Mid-Early","DSRCP v1","IR16A1591",2022,"WS",26,78,114,3940,82,84,55.6,11.2,-1,NA,-1,-1,NA,1,1,1
