"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","STV11"
"38","","DSRCP v6","IR 137198-39-2-B RGA-B RGA-1",2022,"DS",45,80,106,6838,NA,NA,59.02,NA,NA,NA,1,1,-1,-1,1
"39","","DSRCP v6","IR 139101-26-2-B RGA-B RGA-3",2022,"DS",44,80,108,6641,NA,NA,56.83,NA,NA,1,1,-1,-1,-1,1
"40","","DSRCP v6","IR 139103-43-1-B RGA-B RGA-1",2022,"DS",44,79,109,6644,NA,NA,57.8,NA,NA,1,1,-1,-1,-1,1
"41","","DSRCP v6","IR 139107-27-1-B RGA-B RGA-2",2022,"DS",45,80,107,6830,NA,NA,54.84,NA,-1,-1,-1,-1,1,-1,1
"42","","DSRCP v6","IR 139109-29-1-B RGA-B RGA-2",2022,"DS",45,79,106,6803,NA,NA,57.02,NA,NA,1,1,-1,-1,-1,1
"43","","DSRCP v6","IR 139109-29-1-B RGA-B RGA-3",2022,"DS",45,80,106,6826,NA,NA,55.56,NA,NA,1,1,-1,-1,-1,1
"44","","DSRCP v6","IR 139110-18-2-B RGA-B RGA-2",2022,"DS",45,79,105,6817,NA,NA,56.72,NA,NA,1,1,-1,-1,-1,1
"45","","DSRCP v6","IR 139112-12-1-B RGA-B RGA-1",2022,"DS",45,80,107,6894,NA,NA,54.4,NA,-1,-1,-1,-1,1,-1,1
"46","","DSRCP v6","IR 139113-6-1-B RGA-B RGA-2",2022,"DS",45,80,106,6837,NA,NA,54.17,NA,NA,1,-1,-1,-1,-1,1
"47","","DSRCP v6","IR 139128-12-1-B RGA-B RGA-3",2022,"DS",44,79,107,6638,NA,NA,57.96,NA,-1,0,1,-1,-1,-1,1
"48","Early","DSRCP v1","IR 58443-6B-10-3",2022,"DS",44,79,110,7065,80,85,57.4,13.6,-1,1,-1,NA,NA,-1,1
"49","mid-early","DSRCP v5","IR 97181-35-1-B RGA-1 RGA",2022,"DS",45,79,110,6844,NA,97,53.71,NA,-1,-1,-1,-1,1,-1,-1
"50","Mid-early","DSRCP v3","IR 97212-10-1-2-1",2022,"DS",45,79,109,6822,NA,92,67,18.6,-1,1,-1,-1,1,-1,1
"51","Mid-Early","DSRCP v1","IR09L204",2022,"DS",48,79,104,6717,87,90,49.8,7.2,1,1,1,NA,NA,-1,1
"52","Early","DSRCP v1","IR12M112",2022,"DS",46,79,103,6958,75,79,55,10.8,-1,NA,-1,NA,NA,1,1
"53","Early","DSRCP v1","IR13L188",2022,"DS",44,78,102,6623,76,80,42.6,9.1,-1,-1,1,NA,NA,-1,1
"54","Early","DSRCP v2","IR14D132",2022,"DS",44,79,104,6704,86,88,37.7,9.9,NA,-1,-1,NA,1,-1,1
"55","Early","DSRCP v2","IR14D164",2022,"DS",44,79,109,6778,86,90,55.5,11.6,NA,-1,-1,NA,1,-1,1
"56","Early","DSRCP v2","IR14D165",2022,"DS",44,79,109,6778,77,86,51.4,14.2,NA,-1,-1,NA,1,-1,1
"57","Early","DSRCP v2","IR14D173",2022,"DS",44,78,104,6728,NA,NA,51.8,13.9,NA,0,1,NA,0,-1,1
"58","Early","DSRCP v2","IR14D174",2022,"DS",44,78,104,6783,79,86,53.6,10.5,NA,-1,-1,NA,1,-1,1
"59","Early","DSRCP v2","IR14D183",2022,"DS",45,79,109,6821,86,88,40.6,14.9,NA,1,-1,NA,-1,-1,1
"60","Early","DSRCP v2","IR14D201",2022,"DS",44,79,103,6718,80,86,49.6,16.9,NA,-1,1,NA,1,-1,1
"61","Early","DSRCP v1","IR14F707",2022,"DS",46,79,106,6638,71,79,37,15.1,-1,NA,0,NA,NA,0,0
"62","Mid-Early","DSRCP v1","IR14F713",2022,"DS",46,78,106,6955,72,82,58.9,9.4,-1,NA,-1,NA,NA,1,1
"63","Early","DSRCP v1","IR14L247",2022,"DS",47,77,109,6902,80,81,39.1,9,-1,NA,-1,NA,NA,-1,1
"64","Early","DSRCP v1","IR14L297",2022,"DS",45,77,108,6780,76,83,44.7,11.4,-1,-1,-1,-1,NA,-1,1
"65","Early","DSRCP v1","IR14L345",2022,"DS",49,76,108,6935,77,85,49.1,13.9,-1,NA,-1,NA,NA,-1,-1
"66","Mid-Early","DSRCP v1","IR15A1132",2022,"DS",44,77,104,6929,83,86,38.5,12,-1,NA,-1,NA,NA,1,1
"67","Mid-Early","DSRCP v1","IR15A2407",2022,"DS",48,77,106,7083,75,84,49.9,10.7,-1,NA,-1,NA,NA,1,1
"68","Mid-Early","DSRCP v1","IR15A2619",2022,"DS",47,77,110,7096,79,82,46.9,16.5,1,NA,-1,NA,NA,-1,1
"69","Mid-Early","DSRCP v1","IR15A3852",2022,"DS",49,77,107,7080,77,82,55.3,8.1,-1,NA,-1,NA,NA,1,1
"70","Mid-Early","DSRCP v1","IR15A4029",2022,"DS",45,80,104,6843,79,85,56,10.1,-1,NA,-1,1,NA,1,1
"71","Early","DSRCP v1","IR15D1079",2022,"DS",43,80,104,6801,82,86,46,13.5,-1,NA,-1,NA,NA,1,1
"72","Early","DSRCP v1","IR15D119",2022,"DS",46,78,101,6902,80,83,38.9,14.3,1,NA,-1,1,NA,-1,1
"73","Mid-Early","DSRCP v1","IR16A1105",2022,"DS",45,78,105,6715,72,80,40.6,11.6,-1,NA,-1,NA,NA,1,1
"74","Mid-Early","DSRCP v1","IR16A1256",2022,"DS",45,77,107,6945,83,87,43.6,11.5,-1,NA,-1,NA,NA,-1,1
"75","Mid-Early","DSRCP v1","IR16A1687",2022,"DS",45,78,108,6812,78,84,43.5,11.1,-1,NA,-1,NA,NA,-1,1
"76","Mid-Early","DSRCP v1","IR16A2094",2022,"DS",46,78,108,7097,85,84,52.8,14,-1,NA,-1,NA,NA,1,-1
"77","Mid-Early","DSRCP v1","IR16A2106",2022,"DS",47,76,105,6970,75,81,37.4,11.2,-1,NA,-1,NA,NA,-1,1
"78","Early","DSRCP v1","IR16L1419",2022,"DS",48,75,105,6979,72,82,51.4,10.8,1,NA,1,NA,NA,-1,-1
"79","Mid-Early","DSRCP v1","IR16L1453",2022,"DS",46,78,109,6843,78,81,47.9,11.1,-1,NA,-1,-1,NA,-1,1
"80","Early","DSRCP v1","IR16L1478",2022,"DS",48,77,111,6773,83,88,47.2,8.4,-1,NA,-1,NA,NA,-1,-1
"81","Early","DSRCP v1","IR16L1499",2022,"DS",47,77,108,6654,83,87,54.7,10.5,-1,NA,1,NA,NA,-1,-1
"82","Mid-Early","DSRCP v1","IR16T1009",2022,"DS",45,80,111,6730,70,76,55,11.2,-1,NA,1,NA,NA,1,1
"83","Early","DSRCP v1","IR16T1110",2022,"DS",47,79,105,7005,85,89,46.9,10.4,-1,NA,1,NA,NA,-1,1
"84","Mid-Early","DSRCP v1","IR16T1656",2022,"DS",44,79,113,6976,78,83,44.9,17.5,-1,NA,-1,NA,NA,1,1
"85","Early","DSRCP v3","IR17A1608",2022,"DS",44,79,106,6684,NA,104,65.6,12,NA,NA,1,NA,1,1,1
"86","Mid-early","DSRCP v2","IR17D1001",2022,"DS",44,79,107,6821,NA,NA,61,22.9,NA,-1,-1,NA,1,-1,1
"87","Early","DSRCP v1","IR17D1040",2022,"DS",46,79,110,7266,77,77,59.4,8.3,1,1,-1,NA,NA,-1,1
"88","Early","DSRCP v1","IR17D1054",2022,"DS",45,80,110,6923,79,85,37.8,14.2,NA,-1,-1,NA,1,-1,1
"89","Mid-early","DSRCP v2","IR17D1055",2022,"DS",43,79,108,6916,76,81,46.9,21.3,NA,-1,-1,NA,1,-1,1
"90","Early","DSRCP v1","IR17D1067",2022,"DS",47,77,113,6886,86,90,59.7,11.4,-1,-1,-1,1,NA,-1,1
"91","Early","DSRCP v1","IR17D1087",2022,"DS",47,75,107,6982,80,84,45.2,11.1,-1,NA,-1,-1,NA,-1,1
"92","Mid-Early","DSRCP v1","IR17D1088",2022,"DS",46,80,109,7135,79,82,46.2,17.5,-1,NA,1,1,NA,-1,1
"93","Mid-early","DSRCP v2","IR17D1090",2022,"DS",44,80,108,6904,NA,NA,58.9,16.4,NA,-1,1,NA,1,-1,1
"94","Early","DSRCP v1","IR17L1060",2022,"DS",46,78,107,6696,74,82,55.7,10.6,-1,0,-1,NA,NA,0,1
"95","Early","DSRCP v1","IR17L1099",2022,"DS",48,76,110,7049,79,83,46.2,13.9,-1,1,-1,NA,NA,1,1
"96","Early","DSRCP v1","IR17L1116",2022,"DS",47,80,107,7115,81,86,53.2,11.9,1,NA,-1,NA,NA,-1,1
"97","Mid-Early","DSRCP v1","IR17L1191",2022,"DS",45,77,103,6603,79,85,58.3,12.5,-1,NA,-1,NA,NA,1,1
"98","Mid-Early","DSRCP v1","IR17L1446",2022,"DS",49,75,108,7005,85,88,50.6,12,1,NA,-1,NA,NA,1,-1
"99","Early","DSRCP v1","IR18L1177",2022,"DS",46,77,105,6608,84,87,59.9,8.4,-1,NA,-1,NA,NA,1,1
"100","Mid-Early","DSRCP v1","IR18R1133",2022,"DS",48,81,109,6825,84,90,57.4,12.6,1,1,1,NA,NA,-1,1
"101","Mid-Early","DSRCP v1","IR18T1012",2022,"DS",46,76,109,6793,83,87,55.5,23.5,-1,NA,0,NA,NA,-1,1
"102","Mid-Early","DSRCP v1","IR18T1014",2022,"DS",45,80,106,7104,79,85,57.4,15.9,-1,NA,-1,NA,NA,1,1
"103","Early","DSRCP v1","IR18T1020",2022,"DS",46,79,106,7072,75,79,56.6,13.7,-1,NA,-1,NA,NA,1,1
"104","Mid-Early","DSRCP v1","IR19L1004",2022,"DS",46,78,112,6862,80,85,56.2,13.3,-1,NA,-1,NA,NA,-1,1
"105","Mid-Early","DSRCP v1","IR19L1007",2022,"DS",48,78,107,6828,72,82,50.9,10.8,1,NA,1,NA,NA,-1,1
"106","Early","DSRCP v1","IR19L1009",2022,"DS",44,78,110,6752,NA,NA,46.7,9.1,-1,1,-1,NA,NA,-1,1
"107","Early","DSRCP v1","IR19L1029",2022,"DS",50,77,104,7044,83,86,43.9,10.5,-1,NA,-1,NA,NA,-1,-1
