"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","STV11"
"174","Early","DSRCP v2","IR14D201",2022,"WS",24,79,111,4056,80,86,49.6,16.9,NA,-1,1,NA,1,-1,1
"175","Early","DSRCP v1","IR14F707",2022,"WS",25,78,115,4000,71,79,37,15.1,-1,NA,0,NA,NA,0,0
"176","Mid-Early","DSRCP v1","IR14F713",2022,"WS",24,78,108,4023,72,82,58.9,9.4,-1,NA,-1,NA,NA,1,1
"177","Early","DSRCP v1","IR14L247",2022,"WS",25,78,115,3946,80,81,39.1,9,-1,NA,-1,NA,NA,-1,1
"178","Early","DSRCP v1","IR14L297",2022,"WS",27,74,114,4526,76,83,44.7,11.4,-1,-1,-1,-1,NA,-1,1
"179","Early","DSRCP v1","IR14L345",2022,"WS",30,72,119,4121,77,85,49.1,13.9,-1,NA,-1,NA,NA,-1,-1
"180","Mid-Early","DSRCP v1","IR15A1132",2022,"WS",24,75,112,4040,83,86,38.5,12,-1,NA,-1,NA,NA,1,1
"181","Mid-Early","DSRCP v1","IR15A2407",2022,"WS",24,77,109,4244,75,84,49.9,10.7,-1,NA,-1,NA,NA,1,1
"182","Mid-Early","DSRCP v1","IR15A2619",2022,"WS",26,73,113,4204,79,82,46.9,16.5,1,NA,-1,NA,NA,-1,1
"183","Mid-Early","DSRCP v1","IR15A3852",2022,"WS",24,77,111,4344,77,82,55.3,8.1,-1,NA,-1,NA,NA,1,1
"184","Mid-Early","DSRCP v1","IR15A4029",2022,"WS",24,79,110,4105,79,85,56,10.1,-1,NA,-1,1,NA,1,1
"185","Early","DSRCP v1","IR15D1079",2022,"WS",27,78,107,4246,82,86,46,13.5,-1,NA,-1,NA,NA,1,1
"186","Early","DSRCP v1","IR15D119",2022,"WS",26,76,106,4265,80,83,38.9,14.3,1,NA,-1,1,NA,-1,1
"187","Mid-Early","DSRCP v1","IR16A1105",2022,"WS",24,78,111,4133,72,80,40.6,11.6,-1,NA,-1,NA,NA,1,1
"188","Mid-Early","DSRCP v1","IR16A1256",2022,"WS",26,73,115,4272,83,87,43.6,11.5,-1,NA,-1,NA,NA,-1,1
"189","Mid-Early","DSRCP v1","IR16A1687",2022,"WS",26,77,116,4189,78,84,43.5,11.1,-1,NA,-1,NA,NA,-1,1
"190","Mid-Early","DSRCP v1","IR16A2094",2022,"WS",25,75,114,4176,85,84,52.8,14,-1,NA,-1,NA,NA,1,-1
"191","Mid-Early","DSRCP v1","IR16A2106",2022,"WS",27,71,112,4232,75,81,37.4,11.2,-1,NA,-1,NA,NA,-1,1
"192","Early","DSRCP v1","IR16L1419",2022,"WS",28,74,119,3921,72,82,51.4,10.8,1,NA,1,NA,NA,-1,-1
"193","Mid-Early","DSRCP v1","IR16L1453",2022,"WS",25,72,116,4362,78,81,47.9,11.1,-1,NA,-1,-1,NA,-1,1
"194","Early","DSRCP v1","IR16L1478",2022,"WS",29,76,121,4225,83,88,47.2,8.4,-1,NA,-1,NA,NA,-1,-1
"195","Early","DSRCP v1","IR16L1499",2022,"WS",29,73,117,4302,83,87,54.7,10.5,-1,NA,1,NA,NA,-1,-1
"196","Mid-Early","DSRCP v1","IR16T1009",2022,"WS",26,77,118,3998,70,76,55,11.2,-1,NA,1,NA,NA,1,1
"197","Early","DSRCP v1","IR16T1110",2022,"WS",27,75,109,4010,85,89,46.9,10.4,-1,NA,1,NA,NA,-1,1
"198","Mid-Early","DSRCP v1","IR16T1656",2022,"WS",26,77,121,3926,78,83,44.9,17.5,-1,NA,-1,NA,NA,1,1
"199","Early","DSRCP v3","IR17A1608",2022,"WS",24,75,114,3986,NA,104,65.6,12,NA,NA,1,NA,1,1,1
"200","Mid-early","DSRCP v2","IR17D1001",2022,"WS",25,78,113,3993,NA,NA,61,22.9,NA,-1,-1,NA,1,-1,1
"201","Early","DSRCP v1","IR17D1040",2022,"WS",24,77,113,3946,77,77,59.4,8.3,1,1,-1,NA,NA,-1,1
"202","Early","DSRCP v1","IR17D1054",2022,"WS",27,71,125,4297,79,85,37.8,14.2,NA,-1,-1,NA,1,-1,1
"203","Mid-early","DSRCP v2","IR17D1055",2022,"WS",24,75,113,3628,76,81,46.9,21.3,NA,-1,-1,NA,1,-1,1
"204","Early","DSRCP v1","IR17D1067",2022,"WS",27,77,114,4202,86,90,59.7,11.4,-1,-1,-1,1,NA,-1,1
"205","Early","DSRCP v1","IR17D1087",2022,"WS",28,72,112,3944,80,84,45.2,11.1,-1,NA,-1,-1,NA,-1,1
"206","Mid-Early","DSRCP v1","IR17D1088",2022,"WS",26,79,110,4110,79,82,46.2,17.5,-1,NA,1,1,NA,-1,1
"207","Mid-early","DSRCP v2","IR17D1090",2022,"WS",24,79,112,3817,NA,NA,58.9,16.4,NA,-1,1,NA,1,-1,1
"208","Early","DSRCP v1","IR17L1060",2022,"WS",26,80,113,4141,74,82,55.7,10.6,-1,0,-1,NA,NA,0,1
"209","Early","DSRCP v1","IR17L1099",2022,"WS",28,72,126,3863,79,83,46.2,13.9,-1,1,-1,NA,NA,1,1
"210","Early","DSRCP v1","IR17L1116",2022,"WS",28,78,107,4045,81,86,53.2,11.9,1,NA,-1,NA,NA,-1,1
"211","Mid-Early","DSRCP v1","IR17L1191",2022,"WS",26,76,110,4142,79,85,58.3,12.5,-1,NA,-1,NA,NA,1,1
"212","Mid-Early","DSRCP v1","IR17L1446",2022,"WS",29,74,115,4119,85,88,50.6,12,1,NA,-1,NA,NA,1,-1
"213","Early","DSRCP v1","IR18L1177",2022,"WS",26,77,110,4338,84,87,59.9,8.4,-1,NA,-1,NA,NA,1,1
"214","Mid-Early","DSRCP v1","IR18R1133",2022,"WS",28,81,109,4000,84,90,57.4,12.6,1,1,1,NA,NA,-1,1
"215","Mid-Early","DSRCP v1","IR18T1012",2022,"WS",26,73,118,4259,83,87,55.5,23.5,-1,NA,0,NA,NA,-1,1
"216","Mid-Early","DSRCP v1","IR18T1014",2022,"WS",23,79,116,3933,79,85,57.4,15.9,-1,NA,-1,NA,NA,1,1
"217","Early","DSRCP v1","IR18T1020",2022,"WS",23,78,108,3902,75,79,56.6,13.7,-1,NA,-1,NA,NA,1,1
"218","Mid-Early","DSRCP v1","IR19L1004",2022,"WS",27,76,124,4307,80,85,56.2,13.3,-1,NA,-1,NA,NA,-1,1
"219","Mid-Early","DSRCP v1","IR19L1007",2022,"WS",25,79,112,4102,72,82,50.9,10.8,1,NA,1,NA,NA,-1,1
"220","Early","DSRCP v1","IR19L1009",2022,"WS",27,78,119,4301,NA,NA,46.7,9.1,-1,1,-1,NA,NA,-1,1
"221","Early","DSRCP v1","IR19L1029",2022,"WS",30,77,116,4358,83,86,43.9,10.5,-1,NA,-1,NA,NA,-1,-1
"222","Early","DSRCP v1","IR19L1030",2022,"WS",26,78,118,4344,78,82,51,10.1,-1,NA,-1,NA,NA,-1,1
"223","Early","DSRCP v1","IR19L1050",2022,"WS",24,77,107,4374,82,86,55.8,9.5,-1,NA,-1,-1,NA,-1,1
"224","Mid-Early","DSRCP v1","IR19L1054",2022,"WS",27,77,119,3910,79,82,54,15.2,-1,NA,-1,-1,NA,-1,1
"225","Mid-Early","DSRCP v1","IR19L1056",2022,"WS",23,76,109,4351,80,85,51.9,15.6,-1,NA,-1,-1,NA,-1,1
"226","Early","DSRCP v1","IR19L1058",2022,"WS",26,74,122,4412,81,87,42.5,10.4,-1,NA,-1,NA,NA,-1,1
"227","Early","DSRCP v1","IRRI 200",2022,"WS",27,74,115,3959,74,83,50.6,13.4,-1,NA,-1,NA,NA,1,1
"228","Mid-Early","DSRCP v1","IRRI 205",2022,"WS",27,74,116,4131,80,83,43.8,9.4,-1,NA,1,-1,NA,-1,1
